x,y,z,time
8.236053,-8.494628,6.545747,00:44:15.141000
6.488286,-6.157887,2.049437,00:44:15.167000
6.521805,-4.807557,1.426944,00:44:15.181000
5.578490,-7.129933,4.539406,00:44:15.208000
4.060566,-9.270349,6.746861,00:44:15.221000
2.437297,-8.997410,6.397307,00:44:15.247000
1.000776,-7.876924,5.018247,00:44:15.278000
0.397437,-7.038953,4.170700,00:44:15.293000
0.459687,-6.497863,4.046201,00:44:15.304000
0.536301,-5.918467,4.074931,00:44:15.320000
0.325611,-5.564125,4.400543,00:44:15.340000
0.225055,-6.272809,5.329493,00:44:15.369000
0.162806,-8.365341,7.407660,00:44:15.383000
-0.263362,-9.888053,9.758766,00:44:15.406000
-0.450110,-7.824251,7.062895,00:44:15.421000
9.002198,-0.191536,4.309563,00:44:15.450000
18.923771,-2.628834,9.390059,00:44:15.463000
14.346057,-12.550406,11.233594,00:44:15.485000
6.646304,-10.366894,4.247314,00:44:15.499000
4.970363,-3.222595,-1.532289,00:44:15.528000
5.779603,-3.610456,0.483629,00:44:15.543000
5.037400,-9.318233,6.033388,00:44:15.567000
3.356671,-10.960655,8.408437,00:44:15.591000
1.273715,-8.935161,7.436390,00:44:15.605000
-0.138864,-7.402872,5.616797,00:44:15.619000
-0.263362,-7.000646,4.477157,00:44:15.640000
0.086191,-6.517017,3.921702,00:44:15.660000
0.100556,-5.789180,3.849876,00:44:15.687000
0.316035,-6.320693,5.463568,00:44:15.701000
0.296881,-10.505757,9.888053,00:44:15.727000
-0.775721,-13.153744,12.852075,00:44:15.741000
-1.455675,-11.434708,11.669339,00:44:15.769000
4.611232,-4.936844,8.767567,00:44:15.782000
17.683575,-2.451663,11.741165,00:44:15.808000
20.460848,-7.015011,12.205640,00:44:15.822000
10.534488,-6.033388,2.011129,00:44:15.849000
3.332729,-0.368707,-5.262455,00:44:15.862000
3.916914,0.000000,-2.461239,00:44:15.888000
6.148310,-6.014235,5.635951,00:44:15.902000
4.601655,-9.504981,10.194510,00:44:15.927000
1.326388,-8.777143,9.050082,00:44:15.942000
-1.082179,-7.426814,5.884948,00:44:15.967000
-1.709460,-6.856994,3.687071,00:44:16.001000
-0.924162,-6.574478,2.624045,00:44:16.015000
-0.158017,-5.951985,2.207454,00:44:16.027000
-0.292093,-4.764462,2.384625,00:44:16.041000
-0.857124,-4.237737,3.323152,00:44:16.065000
-1.125275,-5.913678,5.679047,00:44:16.083000
-1.685518,-8.614338,9.485827,00:44:16.108000
-3.193865,-10.328587,12.310986,00:44:16.122000
-3.529053,-7.182605,9.423578,00:44:16.148000
11.338940,6.042965,7.173028,00:44:16.162000
26.245239,4.458004,11.066000,00:44:16.188000
17.851168,-12.052411,10.046070,00:44:16.202000
4.654328,-12.061988,1.637634,00:44:16.228000
2.025495,-2.336741,-2.585738,00:44:16.242000
4.553771,-0.656011,2.140416,00:44:16.267000
4.525041,-7.967903,8.207323,00:44:16.282000
2.801216,-13.101071,9.658210,00:44:16.318000
1.101333,-11.693281,8.068460,00:44:16.331000
-0.948104,-8.360553,6.162675,00:44:16.355000
-1.853112,-6.617573,4.678270,00:44:16.367000
-1.364695,-6.057330,3.734955,00:44:16.382000
-0.785298,-5.343858,3.557784,00:44:16.403000
-0.526724,-5.171476,4.280833,00:44:16.427000
-0.555455,-6.938396,6.454768,00:44:16.441000
-1.034295,-9.390059,9.959879,00:44:16.467000
-2.015918,-10.141838,12.066776,00:44:16.481000
-1.412579,-6.143522,7.292738,00:44:16.507000
12.512098,1.910573,6.952762,00:44:16.521000
20.714634,3.342306,9.811439,00:44:16.547000
15.763424,-8.279149,9.576807,00:44:16.561000
9.308656,-8.480263,4.118027,00:44:16.587000
2.643199,-1.403002,-4.261679,00:44:16.601000
4.065354,-1.091756,-1.877054,00:44:16.625000
5.683835,-5.932832,6.277597,00:44:16.641000
4.094085,-11.233594,9.787497,00:44:16.677000
2.035071,-11.736377,8.312668,00:44:16.699000
0.229843,-9.447520,5.779603,00:44:16.713000
-0.684742,-7.776367,4.395754,00:44:16.726000
-0.134075,-7.647080,4.237737,00:44:16.740000
0.493206,-7.077260,4.596867,00:44:16.771000
0.373495,-5.813122,4.673482,00:44:16.784000
-0.134075,-5.822699,4.922479,00:44:16.811000
-0.857124,-6.986280,6.564901,00:44:16.824000
-1.953669,-8.111555,9.476251,00:44:16.846000
-3.141193,-8.844181,10.218452,00:44:16.860000
5.554548,-2.614468,7.896077,00:44:16.895000
21.624430,-0.464475,12.818556,00:44:16.906000
20.714634,-7.029376,14.963760,00:44:16.924000
6.430826,-7.158663,3.744531,00:44:16.945000
-0.014365,-2.020706,-6.071695,00:44:16.966000
3.778050,-1.417367,-3.552995,00:44:16.980000
7.340622,-7.350199,5.865794,00:44:17.032000
5.257667,-11.458650,10.156203,00:44:17.046000
1.996764,-11.252748,8.638280,00:44:17.060000
0.000000,-9.524135,5.549759,00:44:17.074000
-0.617704,-8.461109,3.955221,00:44:17.086000
-0.186748,-8.542512,3.945644,00:44:17.101000
0.244209,-7.996634,4.295198,00:44:17.133000
-0.057461,-6.205771,4.429273,00:44:17.145000
-0.574608,-5.688623,4.841076,00:44:17.165000
-0.742203,-7.934384,7.613562,00:44:17.184000
-1.345541,-10.137050,11.722012,00:44:17.210000
-2.432509,-10.352529,11.410766,00:44:17.223000
7.714118,-4.156334,7.134721,00:44:17.249000
22.194250,-1.762132,11.214440,00:44:17.263000
17.602171,-5.209783,13.694834,00:44:17.335000
3.849876,-2.504335,3.907337,00:44:17.347000
0.699107,0.229843,-3.945644,00:44:17.362000
6.689400,-3.284845,-2.011129,00:44:17.413000
9.097966,-8.820239,4.922479,00:44:17.426000
4.841076,-10.740389,8.585608,00:44:17.447000
1.024718,-9.916783,8.082825,00:44:17.461000
0.052672,-8.724471,5.942409,00:44:17.477000
0.359130,-8.226477,4.644751,00:44:17.493000
0.670376,-7.177817,4.400543,00:44:17.505000
0.349553,-5.602432,3.888184,00:44:17.528000
-0.363919,-4.860229,2.901772,00:44:17.547000
-1.168370,-5.434838,2.791639,00:44:17.574000
-2.073379,-6.622362,5.228937,00:44:17.593000
-3.098097,-8.461109,10.381259,00:44:17.623000
-4.031836,-11.358093,14.173674,00:44:17.637000
2.662352,-7.019799,8.705317,00:44:17.652000
21.950041,-1.685518,8.159439,00:44:17.666000
25.479094,-3.806781,12.818556,00:44:17.680000
8.192958,-5.018247,5.813122,00:44:17.694000
-0.660800,-2.839523,-3.768473,00:44:17.706000
3.600879,-2.518700,-3.514688,00:44:17.746000
8.662222,-6.033388,4.692636,00:44:17.760000
6.713342,-8.480263,10.084377,00:44:17.774000
2.542642,-8.628703,9.801862,00:44:17.787000
0.483629,-8.044518,7.211336,00:44:17.801000
0.019154,-7.699753,5.348647,00:44:17.816000
-0.095768,-7.182605,5.003881,00:44:17.827000
-0.282516,-6.234501,5.300763,00:44:17.844000
-0.421380,-5.248090,4.754885,00:44:17.864000
-0.703895,-4.735731,3.423708,00:44:17.883000
-1.632846,-4.841076,3.198653,00:44:17.902000
