x,y,z,time
-2.782062,-11.774684,-1.331176,00:44:11.599000
-3.031059,-15.164873,-0.967257,00:44:11.613000
-3.983952,-12.109872,0.598550,00:44:11.630000
-3.648763,-9.318233,1.422156,00:44:11.650000
-0.900220,-3.203442,2.001553,00:44:11.679000
-0.426168,-1.728614,1.987187,00:44:11.693000
-0.574608,-0.258574,2.063802,00:44:11.716000
-1.010353,-0.895431,0.852336,00:44:11.730000
-2.059013,-9.476251,-0.541090,00:44:11.758000
-2.595315,-20.652384,-1.790863,00:44:11.772000
0.656011,-22.012291,-2.456451,00:44:11.796000
6.670246,-18.492813,-2.442086,00:44:11.811000
13.900735,-19.412188,-2.585738,00:44:11.838000
19.048269,-21.159954,-2.719813,00:44:11.851000
15.193604,-14.374787,-0.890643,00:44:11.876000
5.688623,-4.089296,1.388637,00:44:11.891000
3.624821,0.411803,1.470040,00:44:11.917000
9.739613,-2.202666,2.126051,00:44:11.931000
13.187263,-6.229713,4.003105,00:44:11.957000
11.621455,-6.291962,4.314352,00:44:11.971000
10.314221,-9.864111,1.565808,00:44:11.997000
13.579912,-19.919758,0.177171,00:44:12.011000
16.304514,-23.578098,0.756568,00:44:12.034000
13.326127,-18.157625,-0.148441,00:44:12.050000
8.101978,-11.559206,-1.302446,00:44:12.071000
3.117251,-6.536170,-1.240196,00:44:12.090000
-0.474052,-3.562572,-0.090980,00:44:12.117000
-2.719813,-2.580950,1.613692,00:44:12.131000
-4.232949,-2.825158,2.557007,00:44:12.156000
-4.314352,-3.251326,2.226608,00:44:12.171000
-2.882619,-3.552995,2.188300,00:44:12.197000
-1.556231,-6.373365,-0.057461,00:44:12.211000
-2.020706,-13.685257,-2.686294,00:44:12.237000
-3.605668,-16.711529,-1.244985,00:44:12.251000
-2.844312,-12.004527,1.101333,00:44:12.277000
-0.344765,-6.296751,2.130840,00:44:12.291000
0.047884,-1.810017,2.968810,00:44:12.317000
-1.498770,0.967257,3.749320,00:44:12.331000
-2.638410,0.938527,2.432509,00:44:12.357000
-4.692636,-7.450756,0.301669,00:44:12.371000
-6.641516,-18.081011,-0.986411,00:44:12.397000
-3.672705,-18.990808,-1.853112,00:44:12.411000
2.743755,-15.863980,-3.897760,00:44:12.437000
9.150639,-18.914194,-4.505888,00:44:12.451000
19.742588,-25.972300,-4.175488,00:44:12.488000
23.415293,-22.409727,-3.969586,00:44:12.501000
11.492168,-9.016563,-2.207454,00:44:12.514000
1.733402,1.082179,-1.762132,00:44:12.530000
7.671022,5.075707,-0.871489,00:44:12.557000
17.985243,2.820370,2.097321,00:44:12.571000
20.197485,-8.513782,5.066131,00:44:12.597000
17.697939,-20.705057,4.486734,00:44:12.611000
13.584701,-21.969194,1.747767,00:44:12.637000
10.453085,-14.958972,0.603339,00:44:12.651000
7.426814,-8.542512,0.119710,00:44:12.677000
3.203442,-6.148310,-0.086191,00:44:12.691000
-0.967257,-5.535394,0.335188,00:44:12.717000
-3.869030,-5.114015,1.288081,00:44:12.731000
-4.707001,-4.611232,2.020706,00:44:12.760000
-4.237737,-4.764462,2.111686,00:44:12.773000
-3.682282,-5.540183,1.958457,00:44:12.799000
-3.557784,-7.575254,1.144428,00:44:12.813000
-3.682282,-10.213664,-0.009577,00:44:12.839000
-4.395754,-10.141838,0.699107,00:44:12.853000
-4.831499,-6.885724,2.557007,00:44:12.878000
-3.821146,-3.088520,3.165135,00:44:12.893000
-2.604892,-0.857124,3.246537,00:44:12.911000
-1.651999,-0.430956,2.815581,00:44:12.931000
-0.837971,-3.706224,0.100556,00:44:12.959000
0.172383,-13.910312,-1.551443,00:44:12.973000
3.576937,-22.864626,-1.254562,00:44:12.999000
12.296620,-25.756823,-2.437297,00:44:13.013000
22.050598,-27.145458,-3.174711,00:44:13.032000
22.275652,-21.021091,-0.847547,00:44:13.056000
12.038046,-8.006210,2.054225,00:44:13.072000
6.531382,-2.877831,2.504335,00:44:13.095000
3.778050,1.264138,-0.397437,00:44:13.112000
6.732495,0.440533,-0.095768,00:44:13.134000
12.938266,-4.161122,5.209783,00:44:13.156000
13.498509,-5.640739,5.463568,00:44:13.169000
17.793707,-16.620548,4.170700,00:44:13.195000
18.507179,-20.518309,3.725378,00:44:13.208000
16.055517,-20.326773,2.652776,00:44:13.238000
12.416330,-14.451402,1.283292,00:44:13.252000
8.255207,-9.504981,0.272939,00:44:13.279000
3.533842,-7.168240,0.181959,00:44:13.305000
-0.435745,-6.550536,0.708684,00:44:13.317000
-3.375824,-5.497087,1.369483,00:44:13.332000
-4.783615,-3.452439,1.790863,00:44:13.352000
-4.424485,-1.795651,1.958457,00:44:13.371000
-3.232172,-1.374272,1.628057,00:44:13.400000
-2.719813,-6.809110,-1.551443,00:44:13.414000
-5.262455,-16.294937,-3.246537,00:44:13.440000
-7.527370,-17.128119,-0.703895,00:44:13.453000
-3.912126,-9.959879,0.598550,00:44:13.479000
1.493982,-4.041412,1.015141,00:44:13.493000
2.437297,-0.507571,2.743755,00:44:13.521000
0.134075,2.049437,3.438074,00:44:13.535000
-1.738190,2.662352,1.575385,00:44:13.556000
-4.137180,-3.691859,-0.402226,00:44:13.571000
-6.124368,-14.982914,-1.422156,00:44:13.599000
-1.292869,-21.873426,-2.398990,00:44:13.613000
7.364564,-23.247698,-3.141193,00:44:13.639000
11.051635,-24.162283,-2.705448,00:44:13.653000
13.163321,-24.870968,-0.928950,00:44:13.679000
15.643714,-19.230228,0.809240,00:44:13.701000
11.113884,-8.169016,0.579397,00:44:13.715000
2.853889,0.047884,-2.260126,00:44:13.747000
5.386954,3.849876,-2.758120,00:44:13.759000
13.910312,4.165911,-1.096544,00:44:13.773000
18.315643,-5.257667,1.321599,00:44:13.791000
19.828779,-17.664421,4.548983,00:44:13.816000
15.643714,-19.857510,2.671929,00:44:13.833000
10.697293,-16.510414,-1.134852,00:44:13.856000
9.030929,-12.234370,-1.958457,00:44:13.872000
6.220136,-8.078036,-1.005565,00:44:13.896000
2.044648,-5.889736,0.828394,00:44:13.912000
-1.632846,-5.181053,2.317587,00:44:13.936000
-4.185065,-5.109226,2.935291,00:44:13.952000
-4.845864,-5.042189,2.413355,00:44:13.977000
-3.945644,-5.975927,1.225831,00:44:13.990000
-3.035848,-7.977480,0.210690,00:44:14.014000
-2.868254,-9.921572,-1.259350,00:44:14.036000
-1.757344,-11.238382,-1.307234,00:44:14.050000
0.943315,-11.654974,0.057461,00:44:14.077000
2.901772,-12.162544,1.048660,00:44:14.090000
1.929727,-10.419566,2.398990,00:44:14.130000
-0.852336,-4.759673,3.433285,00:44:14.143000
-3.289633,1.728614,4.098873,00:44:14.156000
-3.634398,4.678270,3.351882,00:44:14.170000
-1.589750,2.643199,1.034295,00:44:14.192000
-0.488417,-6.076484,-1.484405,00:44:14.217000
1.307234,-21.528662,-1.690306,00:44:14.233000
10.563218,-32.623394,-2.173935,00:44:14.257000
20.120871,-32.412704,-3.897760,00:44:14.271000
19.048269,-23.161507,-0.842759,00:44:14.297000
10.601525,-9.624691,3.169923,00:44:14.313000
3.236961,0.713472,3.677494,00:44:14.336000
1.939303,2.748544,1.886631,00:44:14.354000
8.872911,-3.931279,-0.751779,00:44:14.377000
17.803284,-15.902287,-0.612916,00:44:14.391000
18.148048,-19.780895,0.914585,00:44:14.416000
12.090718,-14.930242,0.383072,00:44:14.434000
7.522582,-12.521675,-1.034295,00:44:14.457000
5.712565,-11.319786,-1.632846,00:44:14.472000
4.347870,-9.390059,-1.302446,00:44:14.498000
2.446874,-7.704541,-0.737414,00:44:14.511000
1.249773,-7.115568,-0.335188,00:44:14.537000
-2.513912,-6.627151,1.244985,00:44:14.551000
-3.303998,-7.125144,1.546654,00:44:14.577000
-3.711013,-8.542512,1.398214,00:44:14.591000
-4.113238,-8.226477,1.063026,00:44:14.612000
-6.191406,-6.636727,0.349553,00:44:14.638000
-7.010222,-6.631939,-1.043872,00:44:14.652000
-4.357447,-8.346188,-0.799663,00:44:14.678000
-1.154005,-7.225701,0.694318,00:44:14.694000
-0.541090,-3.256114,2.015918,00:44:14.719000
-1.762132,-0.732626,3.136404,00:44:14.734000
-2.226608,-0.890643,1.886631,00:44:14.762000
-2.068590,-5.712565,-0.186748,00:44:14.775000
-1.776498,-14.805743,-1.613692,00:44:14.808000
1.288081,-21.456835,-2.954445,00:44:14.823000
9.380483,-23.420080,-4.280833,00:44:14.836000
23.348255,-25.771187,-5.027823,00:44:14.854000
28.931534,-22.615629,-1.934515,00:44:14.879000
16.979679,-10.256760,2.968810,00:44:14.892000
4.089296,0.622492,5.027823,00:44:14.919000
4.563348,3.897760,3.873818,00:44:14.932000
13.575124,1.307234,0.622492,00:44:14.959000
19.828779,-9.840169,1.254562,00:44:14.972000
19.838356,-19.642031,2.834735,00:44:14.995000
14.800955,-18.957289,0.081403,00:44:15.012000
9.222465,-16.261417,-2.288857,00:44:15.033000
5.789180,-12.258312,-2.724602,00:44:15.058000
3.390190,-7.671022,-2.509123,00:44:15.071000
0.885855,-5.736507,-0.857124,00:44:15.098000
-1.752556,-5.544971,1.350330,00:44:15.112000
-3.572149,-5.204995,2.288857,00:44:15.138000
-3.830723,-4.620809,2.082955,00:44:15.151000
